video_title,video_id,comment_id,comment_date,updated_date,commenter_url,commenter_name,like_count,top_level_comment_num,top_level_comment,comment_reply
"""First Presidential Debate""",855Am6ovK7s,z13rxp4orqnhz1ceq234xfijurazy54db,2016-11-16T04:55:09.000Z,2016-11-16T04:56:09.000Z,http://www.youtube.com/channel/UC7Dp3BhRD9blLJUhmGoQ8xA,die2no,0,295,anti Trump comments are getting reported for spam!﻿, - 
"""First Presidential Debate""",855Am6ovK7s,z12mhxrxgor0cjhjz04ci5oy5t2bhbjgd5s,2016-12-01T20:59:02.000Z,2016-12-01T20:59:02.000Z,http://www.youtube.com/channel/UCyJsVOAQRU1dBAGqStSdS_w,NABIL EZZAT,0,296,Nnn﻿, - 
"""First Presidential Debate""",855Am6ovK7s,z12swvsjcpmzhjhsp23csdaxnp2zunsot04,2016-10-23T10:40:16.000Z,2016-10-23T10:40:16.000Z,http://www.youtube.com/channel/UCeBTn5E2DLJB-fhil76LcKw,Parsa The Cool Kid,69,297,I am just watching because of the comedy﻿, - 
"""First Presidential Debate""",855Am6ovK7s,z12swvsjcpmzhjhsp23csdaxnp2zunsot04.1478054180611823,2016-11-02T02:36:20.000Z,2016-11-02T02:36:20.000Z,http://www.youtube.com/channel/UCCy6L5oIYUMJgorsxC0sTAg,Mr.Gamer 21,2, - , - ,Parsa The Cool Kid YEP
"""First Presidential Debate""",855Am6ovK7s,z12swvsjcpmzhjhsp23csdaxnp2zunsot04.1477219248509294,2016-10-23T10:40:48.000Z,2016-10-23T10:40:48.000Z,http://www.youtube.com/channel/UCeBTn5E2DLJB-fhil76LcKw,Parsa The Cool Kid,7, - , - ,Otherwise I don't live anywhere near America
"""First Presidential Debate""",855Am6ovK7s,z12etfqydozsud24m04ccptrekmvjnwipkg0k,2016-11-09T03:04:23.000Z,2016-11-09T03:04:23.000Z,http://www.youtube.com/channel/UCbsNWXRRvFAU1fYd3sU-juA,Tyvontae Classix,5,298,Man I clicked here Looking For Deez Nuts. #Deeznutsforpresident﻿, - 
"""First Presidential Debate""",855Am6ovK7s,z13yxd0hjmrqjla0523litkx3xzgglo5t04,2016-11-07T19:15:05.000Z,2016-11-07T19:15:05.000Z,http://www.youtube.com/channel/UCV78tbJkVZrl3Cu4H3Mb7hw,DracoSapphire,3,299,"I'm from Germany, and I just like watching these two tear eachother apart.﻿", - 
"""First Presidential Debate""",855Am6ovK7s,z123e3fydwizfvibg04cir0htq3rub5xla4,2016-11-08T00:41:07.000Z,2016-11-08T00:41:07.000Z,http://www.youtube.com/channel/UC1RZ9xCIK6Ca0OGhXMSSu1Q,TheFilipino Remake,4,300,hilary clinton was ready to roast donald trump﻿, - 
"""First Presidential Debate""",855Am6ovK7s,z135yzj5bw3ce5l3n234f3nxyuzbcpe1b,2016-11-07T08:02:42.000Z,2016-11-07T08:02:42.000Z,http://www.youtube.com/channel/UCrqNHEndYgd8KVv6GbDgvLA,Titanic Gaming,4,301,"Could the guy stop trying to interrupt them. Let them at it. There 
shouldn't be any time crunch in something as important as this.﻿", - 
"""First Presidential Debate""",855Am6ovK7s,z12hsfrqjxajgbl5e04chxtgfnqkizwbdgo,2016-11-05T02:14:32.000Z,2016-11-05T02:14:32.000Z,http://www.youtube.com/channel/UCt_y7XPSUYSW3haMqt65a-Q,Music 4 Life,16,302,"It is sad to think that watch a debate before was something for clever 
people. Now it is more like a comedy show.﻿", - 
"""First Presidential Debate""",855Am6ovK7s,z12btv245nuae3yct23szhjazo2mincp104,2016-11-07T22:55:25.000Z,2016-11-07T22:55:25.000Z,http://www.youtube.com/channel/UCWLG8xa1of60cRSztmZmCng,RadonXx 3245,6,303,if I ever become president my debate will be called the master debation﻿, - 
"""First Presidential Debate""",855Am6ovK7s,z132utjylra4z1kgb04ch33ylkzfvfjbvus0k,2016-11-06T08:00:28.000Z,2016-11-06T08:16:44.000Z,http://www.youtube.com/channel/UCi2TupcxDXH5sUGxB9ZDmVA,Elize Lin,4,304,"How many of you actually watched the whole thing before talking about them? 
If all you're basing off your opinions on are articles on Facebook, you're 
wrong. Honestly, the debate includes so much more and I reccomend that you 
watch it before running your mouth off. Truthfully though, I'm sick of the 
both of them. Good Luck November 8th, America.﻿", - 
"""First Presidential Debate""",855Am6ovK7s,z12rfpkgjuubcla0f22jf5myqnrui1faa04,2016-11-08T23:06:50.000Z,2016-11-08T23:06:50.000Z,http://www.youtube.com/channel/UCk8yUXJGnJntIzifSE2-BvA,Quiana Redman,8,305,Our country is screwed....﻿, - 
"""First Presidential Debate""",855Am6ovK7s,z13otl1anlj3xlky104cfnw4arnvidsgb1k,2016-11-08T22:39:36.000Z,2016-11-08T22:39:36.000Z,http://www.youtube.com/channel/UC6SaGtX6ReS9lSK9eentKTA,Daniel Carlson,1,306,"Who ever becomes president I'll be happy, im tired of the dumb politics and 
people. 🔫﻿", - 
"""First Presidential Debate""",855Am6ovK7s,z125dr3bgputsjxw404cfjgounuvidp5204,2016-11-08T01:51:16.000Z,2016-11-08T01:51:16.000Z,http://www.youtube.com/channel/UC96RASxTRspbsy6tp80exEQ,Ming Zhang (LegitMeisterMing),1,307,"#4000 emails = mistake... yeah I said the same thing to the tax collector 
in china and now i'm stuck here...﻿", - 
"""First Presidential Debate""",855Am6ovK7s,z135wfzicz2phfrlr22pspqxdo3hxrdmu,2016-11-06T00:20:13.000Z,2016-11-06T00:20:13.000Z,http://www.youtube.com/channel/UCxqrBStpzTfE15cqnjSJ5Sw,Christopher Gross,1,308,"Hillary wants to talk about misogyny, but her bill is worse than Cosby!﻿", - 
"""First Presidential Debate""",855Am6ovK7s,z12hdpmhsvvcypcn422tezeikqfmxlh0b,2016-11-09T01:37:39.000Z,2016-11-09T01:37:39.000Z,http://www.youtube.com/channel/UCoF2MI2KKqa7HlRImexV8qQ,Al F,1,309,"▄██████████████▄▐█▄▄▄▄█▌
   ██████▌▄▌▄▐▐▌███▌▀▀██▀▀
   ████▄█▌▄▌▄▐▐▌▀███▄▄█▌
   ▄▄▄▄▄██████████████▀﻿", - 
"""First Presidential Debate""",855Am6ovK7s,z13dul3w5rjtwvmwm04cihdrtriyvb5wbhk,2016-11-07T04:13:30.000Z,2016-11-07T04:13:30.000Z,http://www.youtube.com/channel/UCgQ8f2HbmWRZeR20zD5_Q_w,John Doe,3,310,"Canada and Mexico will have a massive American refugee crisis in the near 
future.﻿", - 
"""First Presidential Debate""",855Am6ovK7s,z13ewnfofuyginly004cizeyroytwnxrijk,2016-11-08T14:48:00.000Z,2016-11-08T14:48:00.000Z,http://www.youtube.com/channel/UCu9Rtf9aX0v6WKbQKCbhY6w,The Glitch,3,311,They're like 12 year olds.﻿, - 
"""First Presidential Debate""",855Am6ovK7s,z12tvhgybojyz1lnh234zfzroubxj1wfw,2016-11-05T06:31:13.000Z,2016-11-05T06:31:13.000Z,http://www.youtube.com/channel/UCw16SHiu7F-ads4TLyMBGCA,mrknockknock1,3,312,"Who's gonna vote for Hilary? I'll dig graves for all of you.
Who's gonna vote for Trump? I'll dig a grave for myself. :P﻿", - 
"""First Presidential Debate""",855Am6ovK7s,z12qf13prkudhldqg04chxabylnigfpotnk0k,2016-11-05T20:32:39.000Z,2016-11-05T20:32:39.000Z,http://www.youtube.com/channel/UCMDiRLKB2fn9JNvEnCT0DjQ,Quintz Dániel  (Quintzy),0,313,"Why is in every debate Hillary's answer for most of the questions ""Go to my 
website""???? That's hillarious.﻿", - 
"""First Presidential Debate""",855Am6ovK7s,z120gpnhutnlir0my23kix4zrvmpinuqq04,2016-12-01T04:50:02.000Z,2016-12-01T04:50:02.000Z,http://www.youtube.com/channel/UCPMnIE2KX4gxi1vfnLmOHFQ,Danny Boy,0,314,"yeah Mitt Romney
boo Jeff Sessions﻿", - 
"""First Presidential Debate""",855Am6ovK7s,z124g1rwrkrxyrmtp23xij1b2z33zzxyw04,2016-11-07T04:36:41.000Z,2016-11-07T04:36:41.000Z,http://www.youtube.com/channel/UC0zHeYaPb21IFwQxx1-N2Wg,Sissy Montez,0,315,Trump keeps jumping into conclusions. He doesn't stick to the topic.﻿, - 
"""First Presidential Debate""",855Am6ovK7s,z12pfvkxcuqkgrtw204ci1yjktr5spcopu00k,2016-11-07T13:56:39.000Z,2016-11-07T13:56:39.000Z,http://www.youtube.com/channel/UCGaDve7LHPzqEBGDACKRtWA,Stephanie D.,2,316,I would recommend watching these debates from start to finish.﻿, - 
"""First Presidential Debate""",855Am6ovK7s,z13uihp4vmmgudg3022fcjpy0kbrg3eko,2016-11-07T21:06:24.000Z,2016-11-07T21:06:24.000Z,http://www.youtube.com/channel/UCW0uaZtd91Td6Us0tI5RnLQ,Jon Kraemer,2,317,makes me embarrassed to be a us citizen after this﻿, - 
