video_title,video_id,comment_id,comment_date,updated_date,commenter_url,commenter_name,like_count,top_level_comment_num,top_level_comment,comment_reply
"""Second Presidential Debate""",FRlI2SQ0Ueg,z13udpratqatjl1wg04ci53p4zyfjpy55es,2016-11-08T09:43:56.000Z,2016-11-08T09:43:56.000Z,http://www.youtube.com/channel/UCAkxqy4Nx5wvtSdxNvLOtPA,NERO ITALICO,1,1087,"****DONALD TRUMP FOR PRESIDENT****
Trump calls for the restoration of Glass-Steagall. ""Yes, but it's sexist!""
The law would put the brakes on bank speculation, because it would restore 
the separation between business banks and traditional banks (savings).
Then Trump is just a friend of Saudi Arabia and Qatar, masters of Italian 
pd as the American one. It would like to resize / delete NATO.
When you wonder why so much hatred towards him, look at the facts, not to 
smoke screens (sexism, homophobia, etc)﻿", - 
"""Second Presidential Debate""",FRlI2SQ0Ueg,z133jd55ovn1cvlon04cjjn4ym3dspfy3zw0k,2016-11-07T15:58:28.000Z,2016-11-07T15:58:28.000Z,http://www.youtube.com/channel/UCAhmQFDXSijU69tZXeGENUw,workingqwc,3,1088,"Trump is just women abuser and an idiot with no wisdom. All minoritys and 
all womem must reject that charlatan.﻿", - 
"""Second Presidential Debate""",FRlI2SQ0Ueg,z13ygvfbuty1fdkiy04cgbxjxu2yjzuoeig,2016-11-05T01:06:55.000Z,2016-11-05T01:06:55.000Z,http://www.youtube.com/channel/UCvcDtGoBg_2N1XmilOABdYw,Daniel Green,0,1089,Hillary said we need the truth. lol so do we when it comes to Benghazi﻿, - 
"""Second Presidential Debate""",FRlI2SQ0Ueg,z13rcnfxqoqthldqu04cdlgxwn2yhryx5k00k,2016-10-31T01:47:20.000Z,2016-10-31T01:47:20.000Z,http://www.youtube.com/channel/UCILeWkQZdTS6w4YE0DTpVoA,Sharon Kettlewell,0,1090,what good is having insurance if you can't afford to use it?﻿, - 
"""Second Presidential Debate""",FRlI2SQ0Ueg,z12uf1jrnwbqjb3sq225ttqpxzfrsxykd,2016-10-26T16:14:56.000Z,2016-10-26T16:14:56.000Z,http://www.youtube.com/channel/UCK_yoFB9aHo3WXvx9zK0BIQ,jesusjacob israel,1,1091,"Trump is just looking for power and for money . He will lie about 
everything and acuse anybody just to become a false savior and hero of 
idiots.﻿", - 
"""Second Presidential Debate""",FRlI2SQ0Ueg,z125fdjgqwn0tlwdq22hgzdy5uulg3iqb04,2016-10-26T17:49:34.000Z,2016-10-26T17:49:34.000Z,http://www.youtube.com/channel/UC4Gf71rC5qFDehoZAPnT-3w,Muhammad Ali Minhas,0,1092,she is very intelligent and nice..﻿, - 
"""Second Presidential Debate""",FRlI2SQ0Ueg,z12ji5ooownpujmmt22bh3qrgmv5sznk1,2016-11-10T17:05:26.000Z,2016-11-10T17:05:26.000Z,http://www.youtube.com/channel/UCSEqxJMXAPkdNkcmCX9EuHg,thien nguyen,0,1093,Donald Trump vs Hillary Clinton Intense debate﻿, - 
"""Second Presidential Debate""",FRlI2SQ0Ueg,z13nzjewtxyduxzib04cdtmacyb3jvualuk0k,2016-11-05T11:07:11.000Z,2016-11-05T11:07:11.000Z,http://www.youtube.com/channel/UCo0LmZJAFNHdgYo5wIL7t_w,Vidhi motwani,0,1094,Donald is dumbbbb and sarcastic﻿, - 
"""Second Presidential Debate""",FRlI2SQ0Ueg,z13zwj5jtm2rtd3oo04cdzcpboivwrl5kyg0k,2016-10-25T00:16:28.000Z,2016-10-25T00:16:28.000Z,http://www.youtube.com/channel/UCbvEWY8I_bhsu5CPzWIjY2w,james higgins,0,1095,MASTER MIND the man thinks far out﻿, - 
"""Second Presidential Debate""",FRlI2SQ0Ueg,z13awffhztq4svob004cf5rq2nffutnjebw,2016-10-25T01:36:03.000Z,2016-10-25T01:36:03.000Z,http://www.youtube.com/channel/UChUlOhoyS9fDXa7z_obw6Ng,Ryan Kelley,0,1096,#Hillary4Prison﻿, - 
"""Second Presidential Debate""",FRlI2SQ0Ueg,z13pi1yhbrawcrsmi23jxzazhmijy1qq104,2016-10-26T21:32:52.000Z,2016-10-26T21:32:52.000Z,http://www.youtube.com/channel/UCpnEVymCBccMnYsEoFRDMQA,Quem Band,0,1097,It seems like the moderators are on Hillary's side.﻿, - 
"""Second Presidential Debate""",FRlI2SQ0Ueg,z13usrhowlmqedwfc23jezgxonecudcz004,2016-11-07T20:45:52.000Z,2016-11-07T20:45:52.000Z,http://www.youtube.com/channel/UCpA_dqqNnKpuhNy15XVXjgw,Taylor Blatchford,0,1098,"Donald never answers the question, he focuses on insulting Clinton. She has 
actual plans in mind and more maturity﻿", - 
"""Second Presidential Debate""",FRlI2SQ0Ueg,z13lhr45gxjcerabc04celiadzrwf5dzfbg,2016-10-25T20:06:28.000Z,2016-10-25T20:06:28.000Z,http://www.youtube.com/channel/UCeoj16xcpCYJ-e4D592W_KA,S.H Lyrics,0,1099,"ok this really funny LOL SHE SHE GOT HER TEETH WHITEND HILLARY LOOK AT HER 
SHE'S SHOWING THEM FAKES OUT﻿", - 
"""Second Presidential Debate""",FRlI2SQ0Ueg,z122f3dwwz34djv5x04cjdeaevb3ezexwds,2016-10-24T23:50:05.000Z,2016-10-24T23:50:05.000Z,http://www.youtube.com/channel/UC1g38B1vNconLgkwJIM8CNQ,This is Me :I,0,1100,"I hope Hillary Clinton wins. She's a witch, but she's better than Sad 
Satan.﻿", - 
"""Second Presidential Debate""",FRlI2SQ0Ueg,z13auhgpnun1gjdi104cil5ihvv5cdj4g3c,2016-11-02T05:48:39.000Z,2016-11-02T05:48:39.000Z,http://www.youtube.com/channel/UCy7pphFaYrKXZAMUfpv9-5Q,cameron h,0,1101,"FALLEN ANGELS RUNNING THE GOVERNMENT ALL HELL BENT BUT THE SHEEPLE DONT 
HAVE A CENT﻿", - 
"""Second Presidential Debate""",FRlI2SQ0Ueg,z13exv4juuqfdfits22eehiiau3dsbbdj,2016-10-30T07:45:05.000Z,2016-10-30T07:45:05.000Z,http://www.youtube.com/channel/UCDPsetLUaf4h6CChEbGlvIw,Steven Jimenez,0,1102,did anyone else notice that fly on Hilary's face at 14:49??﻿, - 
"""Second Presidential Debate""",FRlI2SQ0Ueg,z13wvz5rvvjyy10aj04chvvgnkqmfnqrwow0k,2016-10-26T02:32:50.000Z,2016-10-26T02:32:50.000Z,http://www.youtube.com/channel/UCvB-lLfndMXRk6NMOeakELw,Appo Jonas,0,1103,"Troops in places they shouldn't be, empty factories all over the country, 
full-time employment a thing of the past, police corruption and brutality, 
keeping the public in constant fear, rampant racism from all races, 
intrusive advertising and mind control and the destruction of human rights 
and privacy.  Australia has done a wonderful job of copying everything 
America does.﻿", - 
"""Second Presidential Debate""",FRlI2SQ0Ueg,z125dnarjq3dsjueb22kxzax2ly1czygs04,2016-11-10T21:32:45.000Z,2016-11-10T21:32:45.000Z,http://www.youtube.com/channel/UCedOB_4AmwJgCZuS2UDqqMw,stopingrain.,1,1104,"Everybody hates trump. He is like a nightmare come true. Its unbelievable 
that a a well known sexual predator, a racist, a women abuser, and a big 
charlatan could become president of united states. Its just beyond 
comprehension.﻿", - 
"""Second Presidential Debate""",FRlI2SQ0Ueg,z13qw1i4btrefhl0m22bun3xkkn2jh5jd04,2016-10-25T09:59:51.000Z,2016-10-25T09:59:51.000Z,http://www.youtube.com/channel/UCooOZP4Q8z4Gf5r9qMK6Xfw,Martin James,0,1105,can't trust Hillary﻿, - 
"""Second Presidential Debate""",FRlI2SQ0Ueg,z13ms5sr5nzszr1yk04cixobapazetmy154,2016-11-13T01:00:23.000Z,2016-11-13T01:00:23.000Z,http://www.youtube.com/channel/UCv4R3vW-1EN6Prly18awZjw,Dj Stalvey,0,1106,Donald Trump yes judge law country﻿, - 
"""Second Presidential Debate""",FRlI2SQ0Ueg,z12as5ajtqrguzq0h22jchdrqmbpv5uxn04,2016-10-24T23:55:54.000Z,2016-10-24T23:55:54.000Z,http://www.youtube.com/channel/UCCPMycGTgimUSR5lG4wSaeg,daniel Oliveira,0,1107,fight and words﻿, - 
"""Second Presidential Debate""",FRlI2SQ0Ueg,z13zdvwjqn2idp44b04chlpxpkfrtn4hn4c,2016-11-09T04:10:24.000Z,2016-11-09T04:10:24.000Z,http://www.youtube.com/channel/UCUOIA0hNevACV1UkKgaJmuQ,JASMIN CANTORAN,0,1108,"Don't vote for Trump 
Pleaseeeeeeeeee﻿", - 
"""Second Presidential Debate""",FRlI2SQ0Ueg,z12dt1j53wv0jjvwj04cebqoioejdhaxsbg,2016-11-08T08:10:42.000Z,2016-11-08T08:10:42.000Z,http://www.youtube.com/channel/UCdYOFFIFaSNrJ_GzXCjIapQ,carpmad carpmad,0,1109,The uk loves Obama﻿, - 
"""Second Presidential Debate""",FRlI2SQ0Ueg,z13ee1owerutezb5k04ccrc4sr33dh2bdv40k,2016-11-19T07:13:35.000Z,2016-11-19T07:13:35.000Z,http://www.youtube.com/channel/UCLyJCrp1Ome_s_1zzD0lTfA,Trevor Bailey,1,1110,"I love how Hilllary and the Moderators tried to Bury him with the Video and 
he still Won the Debate﻿", - 
"""Second Presidential Debate""",FRlI2SQ0Ueg,z13yevoijraqfrdfl23iuj5xqnfowbeab04,2016-11-03T00:11:05.000Z,2016-11-03T00:11:05.000Z,http://www.youtube.com/channel/UCcdjKvvDlcDGKUKLY30w9ww,ap am,2,1111,"Hillary is such an evil human being, how could a single person ever vote 
for her?﻿", - 
"""Second Presidential Debate""",FRlI2SQ0Ueg,z12kx1rrgob3cfmvj22ctb0ocs2ihzvxo04,2016-10-31T16:48:07.000Z,2016-10-31T16:48:07.000Z,http://www.youtube.com/channel/UCFq-5r8-f2X2p-nJQTVGedg,desertroot.,1,1112,"Trump is all things nobody wants. Stupid, racist, bigot and big mouth.﻿", - 
"""Second Presidential Debate""",FRlI2SQ0Ueg,z13zwlyizmzyj5iri04cjlmomsbrcxahcfc,2016-10-24T18:02:12.000Z,2016-10-24T18:02:12.000Z,http://www.youtube.com/channel/UCRf3w8r7DD9d_CEJinijYcw,noujaadw,1,1113,"59:13 till 1:04:00 wtf WTF WTF you can't just threat with nuclear war is 
that guy insane, they should all be dismantled for the sake of the human 
race.﻿", - 
